url,post_nummer,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris
https://www.boliga.dk/bolig/1840364/roemersgade_5_4_1362_koebenhavn_k,1362,Ejerlejlighed,325,0.0,9,4,1880,1970.0,6552,300,2,1,26000000
https://www.boliga.dk/bolig/1840229/bagsvaerd_hovedgade_58_1_e_2880_bagsvaerd,2880,Ejerlejlighed,51,0.0,2,1,1961,0.0,727,51,1,1,1795000
https://www.boliga.dk/bolig/1840268/roskildevej_384_1_31_2610_roedovre,2610,Ejerlejlighed,56,0.0,2,1,1969,0.0,718,52,1,1,1845000
https://www.boliga.dk/bolig/1840249/maagevej_44_1_th_2400_koebenhavn_nv,2400,Ejerlejlighed,61,0.0,2,1,1937,0.0,1162,58,1,1,1850000
https://www.boliga.dk/bolig/1840083/skyttebjerg_20_2850_naerum,2850,Ejerlejlighed,61,0.0,2,2,1960,1964.0,867,61,1,1,1995000
https://www.boliga.dk/bolig/1840247/groentoften_1_1_th_2870_dyssegaard_,2870,Ejerlejlighed,53,0.0,2,1,1931,0.0,630,55,1,1,1995000
https://www.boliga.dk/bolig/1840260/klokkerhaven_2a_1_tv_2750_ballerup,2750,Ejerlejlighed,87,,3,1,1962,0.0,15003,0,1,1,1995000
https://www.boliga.dk/bolig/1840275/vejlegaardsparken_32_1_13_2665_vallensbaek_strand,2665,Ejerlejlighed,86,0.0,3,1,1966,0.0,857,78,1,1,2195000
https://www.boliga.dk/bolig/1840009/naesborgvej_44_st_tv_2650_hvidovre,2650,Ejerlejlighed,73,0.0,3,0,1966,0.0,860,67,1,1,2295000
https://www.boliga.dk/bolig/1840032/hyltebjerg_alle_1_1_tv_2720_vanloese,2720,Ejerlejlighed,61,0.0,2,1,1938,1976.0,1176,58,1,1,2295000
https://www.boliga.dk/bolig/1840195/ved_volden_9_2_mf_1425_koebenhavn_k,1425,Ejerlejlighed,57,0.0,2,2,1938,0.0,1154,51,1,1,2295000
https://www.boliga.dk/bolig/1778114/eremitageparken_99__1_a_2800_kongens_lyngby,2800,Ejerlejlighed,108,0,4,1,1972,,1163,106,1,1,3195000
https://www.boliga.dk/bolig/1800571/frederikssundsvej_24__1_tv_2400_koebenhavn_nv,2400,Ejerlejlighed,97,0,4,1,1936,0,1426,90,1,1,3795000
https://www.boliga.dk/bolig/1808200/oerestads_boulevard_63b_1_tv_2300_koebenhavn_s,2300,Ejerlejlighed,74,0,3,1,2007,0,1692,65,1,1,3350000
https://www.boliga.dk/bolig/1778114/eremitageparken_99__1_a_2800_kongens_lyngby,2800,Ejerlejlighed,108,0,4,1,1972,,1163,106,1,1,3195000
https://www.boliga.dk/bolig/1800571/frederikssundsvej_24__1_tv_2400_koebenhavn_nv,2400,Ejerlejlighed,97,0,4,1,1936,0,1426,90,1,1,3795000
https://www.boliga.dk/bolig/1808200/oerestads_boulevard_63b_1_tv_2300_koebenhavn_s,2300,Ejerlejlighed,74,0,3,1,2007,0,1692,65,1,1,3350000
https://www.boliga.dk/bolig/1840634/frederikssundsvej_346_5_doerlejl_508_2700_broenshoej,2700,Ejerlejlighed,35,0,1,5,1969,0,242,28,1,1,660000
