url,post_nummer,boligstorrelse,grundstorrelse,bolig_type,vaerelser,etage,byggeår,om_byggeår,skatter,kaelderstorrelse,boligareal_tinglyst,toiletter,badevaerelser,pris,handelstype,carport,udhus,salgsmaned,salgsar
https://www.boliga.dk/salg/info/147/186231/B78C11DC-13BC-4FCF-A440-E793BAB678B0,2000,80,0,,3,3,1934,1976,1294,,75,1,1,3026000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/155/44551/7358D9C9-846D-4F79-8BB9-1A805C12B8E5,2791,75,0,,3,1,1973,0,1493,,67,1,1,2975000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/5610/91B4D1F7-E6DD-4E62-BCA9-9402D385A6F4,2300,106,0,,1,8,2008,0,2611,,84,1,1,5600000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/159620/463ADC39-583A-4042-BF76-50863B1E0F1D,2700,69,0,,2,2,1962,0,982,,64,1,1,1750000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/159/97986/3EB8584D-2C27-44D0-8DDA-935B0334FD20,2860,83,0,,3,1,1957,0,674,,86,1,1,2200000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/157/179179/C6913D2F-6F9A-48B1-AD8F-7FB7CDDAED22,2820,63,0,,2,1,1958,0,886,,62,1,1,1200000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/173/113218/744EA9ED-5F4D-466F-9EC2-1F3BB09D39CA,2800,56,0,,2,2,1938,0,881,,51,1,1,1050000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/183/47434/8A2A3B46-ED43-4A8C-B35D-5282D758CCAD,2635,51,0,,2,2,1977,0,543,,47,1,1,1650000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/187/41597/219E27B5-7F9C-45DC-8FF6-F6A8CAA49EF7,2665,47,0,,2,1,1966,0,532,,39,1,1,1200000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/811158/A5A73AD5-4880-496E-AC9A-E6284F63BC40,2100,66,0,,3,2,1935,0,1089,,60,1,1,1200000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/157/277170/DBA09300-E945-4518-A780-4A1487A834EE,2900,153,0,,5,1,1906,0,3550,,140,1,1,13000000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/365301/53BFE821-1DC3-43CD-BB8F-68F71FD9FD5F,2100,101,0,,4,2,1912,0,1646,,92,1,1,5650000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/19172/20FBA940-E609-4033-B4CC-74AE6721DBEF,2300,111,0,,4,6,2016,0,2477,,92,1,1,6100001,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/27165/9C91BAB1-D7A0-4422-ADAD-2F16425AB4B4,2450,86,0,,3,2,2017,0,1942,,75,1,1,4295000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/173/91982/485709E6-9F0E-4273-B49F-AEDFFE25421E,2800,68,0,,2,6,1962,0,1033,,55,1,1,950000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/711536/8A7AA466-4558-49C7-B9FB-D7012CA11BF0,2100,64,0,,2,10,1972,0,1272,,54,1,1,3195000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/9370/D8195F1D-0B1D-407D-A496-6CF1607FA9BE,2500,90,0,,2,2,2007,0,1988,,72,1,1,2200000,Alm. frit salg,,,9,2021
https://www.boliga.dk/salg/info/101/811930/3BC76FF8-7FE1-415C-A142-E7F97C718956,2100,115,0,,3,2,2006, ,3047,,103, , ,2700000,Alm. frit salg,,,9,2021
