url,post_nummer,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris,handelstype,salgsmaned,salgsar
https://www.boliga.dk/salg/info/147/258133/CE305B5F-8D0F-4114-84AE-6A89CA9B7FFB,2000,,110,0.0,4,4,2007,0,2487,102,1,1,8900000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/729192/D6A7FA44-2D41-4FB0-BC3E-8862D2A7D8C6,1428,,47,0.0,2,5,1901,0,852,38,1,1,3450000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/709124/A77F1AEA-68C6-4A71-A209-B2995B3A4B22,2100,,102,0.0,3,0,1931,0,1760,92,1,1,4160000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/819035/865B0280-838D-48B8-B687-A8424B98C035,2500,,62,0.0,2,1,1930,0,845,57,1,1,2200000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/609081/F4C554AB-99D0-4BCA-B1DC-79ADA949CB5A,2720,,114,0.0,5,2,1940,0,1435,55,2,2,1297500,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/658120/B554A345-45DD-4186-B3BA-139DBDBE39DF,2700,,71,0.0,3,0,1952,0,951,66,1,1,1995000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/159/101304/FBACFAB0-99F6-4D75-8764-941ECAF610DD,2860,,64,0.0,3,1,1958,0,542,67,1,1,1900000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/976190/F02110CB-E5AF-49F9-B837-C034159EC2D1,2450,,103,0.0,4,3,2006,0,1952,94,1,1,6098000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/79821/223755D2-CFA0-44ED-A1AA-4A92087A227B,2700,,40,0.0,2,0,1934,0,679,35,1,1,1551000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/183/45741/952AFBEA-E328-4727-9378-A72804ABC2B9,2635,,97,0.0,3,2,1976,0,1061,93,1,1,2220000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/3823/692AF86D-FCF9-4198-BF85-80E9F510D65A,1700,,93,0.0,3,2,1908,1982,1609,84,1,1,597000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/182584/AC36AD4E-1F5E-4B42-9952-9C4283356955,1722,,54,0.0,2,1,1902,0,857,46,1,1,3250000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/147/33354/EEDA7763-F395-48A9-B546-9960621E3887,1957,,90,0.0,4,1,1899,0,1505,82,1,1,6000000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/834620/4EC816F8-2ECC-4EB5-B71B-D4272A83AFC3,2400,,128,0.0,3,2,1989,0,2068,106,1,1,2112500,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/187/41066/827DBFBA-881C-40C0-9CF9-0C5ABF1F2156,2665,,47,0.0,2,2,1966,0,532,39,1,1,1280000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/183/22911/A8D4C759-C032-48CA-AC88-D489EE7574E0,2635,,97,0.0,3,0,1974,0,957,105,1,1,2060000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/101/26400/44A1276C-9802-45F1-90DA-A0F38395F73B,2100,,84,0.0,2,1,1994,0,2320,75,1,1,4000000,Alm. frit salg,10,2021
https://www.boliga.dk/salg/info/163/33496/79AFF0DA-8458-4504-9532-E880BE997BA3,2730,Ejerlejlighed,148,,6,2,1955,1975,2260,0,2,1,3000000,Alm. frit salg,10,2021
