url,post_nummer,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris,salgsmaned,salgsar
https://www.boliga.dk/bolig/1843658/vagtelvej_73_st_tv_2000_frederiksberg,"Vagtelvej 73, st. tv 2000 Frederiksberg",Ejerlejlighed,73,0,2,0,1969,,1110,68,1,1,3395000,11,2021
https://www.boliga.dk/bolig/1843663/drejoegade_35_st_8_2100_koebenhavn_oe,"Drejøgade 35, st. 8 2100 København Ø",Ejerlejlighed,74,0,2,0,1979,0,1007,60,1,1,3495000,11,2021
https://www.boliga.dk/bolig/1843735/ved_andebakken_9__2_tv_2000_frederiksberg,"Ved Andebakken 9, 2. tv 2000 Frederiksberg",Ejerlejlighed,57,0,2,2,1941,0,892,53,1,1,3495000,11,2021
https://www.boliga.dk/bolig/1843733/baunebakkevej_137_2650_hvidovre,Baunebakkevej 137 2650 Hvidovre,Ejerlejlighed,96,0,4,3,1965,0,1270,95,1,1,3595000,11,2021
https://www.boliga.dk/bolig/1843659/falkoner_alle_61_3_th_2000_frederiksberg,"Falkoner Alle 61, 3. th 2000 Frederiksberg",Ejerlejlighed,59,0,2,3,1898,1972,958,49,1,1,3995000,11,2021
https://www.boliga.dk/bolig/1843730/aksel_moellers_have_24__2_tv_2000_frederiksberg,"Aksel Møllers Have 24, 2. tv 2000 Frederiksberg",Ejerlejlighed,68,0,2,2,1946,0,1027,55,1,1,4195000,11,2021
https://www.boliga.dk/bolig/1843489/islands_brygge_60_2_mf_2300_koebenhavn_s,"Islands Brygge 60, 2. mf 2300 København S",Ejerlejlighed,72,0,2,2,2018,0,1610,61,1,1,4345000,11,2021
https://www.boliga.dk/bolig/1843616/annexstraede_21_3_th_2500_valby,"Annexstræde 21, 3. th 2500 Valby",Ejerlejlighed,109,0,3,3,2007,0,2415,91,1,1,5250000,11,2021
https://www.boliga.dk/bolig/1843664/strandbjerg_4b_2960_rungsted_kyst,Strandbjerg 4B 2960 Rungsted Kyst,Ejerlejlighed,106,0,3,2,1995,0,2227,106,1,1,5295000,11,2021
https://www.boliga.dk/bolig/1843613/haraldsgade_85_1_2100_koebenhavn_oe,"Haraldsgade 85, 1. 2100 København Ø",Ejerlejlighed,94,0,3,1,1928,0,1926,126,1,1,5995000,11,2021
https://www.boliga.dk/bolig/1843632/dronningens_tvaergade_50_3_3_1302_koebenhavn_k, , , , , , , , , , , , ,5995000,11,2021
https://www.boliga.dk/bolig/1843723/toftegaards_alle_41__4_tv_2500_valby,"Toftegårds Allé 41, 4. tv 2500 Valby",Ejerlejlighed,161,0,5,4,1932,0,2320,154,1,1,5995000,11,2021
https://www.boliga.dk/bolig/1843557/robert_jacobsens_vej_82_3_4_2300_koebenhavn_s,"Robert Jacobsens Vej 82, 3. 4 2300 København S",Ejerlejlighed,107,0,3,3,2010,0,2511,95,1,1,6250000,11,2021
https://www.boliga.dk/bolig/1843556/henrik_ibsens_vej_7_4_tv_1813_frederiksberg_c,"Henrik Ibsens Vej 7, 4. tv 1813 Frederiksberg C",Ejerlejlighed,96,0,4,4,1900,0,1731,87,1,1,6495000,11,2021
https://www.boliga.dk/bolig/1843495/dronningens_tvaergade_36_6__nr_3_1302_koebenhavn_k,"Dronningens Tværgade 36, 6. 3 1302 København K",Ejerlejlighed,85,0,2,6,1957,,0,78,1,1,6795000,11,2021
https://www.boliga.dk/bolig/1843549/rahbeks_alle_24_st_tv_1801_frederiksberg_c,"Rahbeks Alle 24, st. tv 1801 Frederiksberg C",Ejerlejlighed,91,0,3,0,1904,0,1567,80,1,1,6995000,11,2021
https://www.boliga.dk/bolig/1843803/robert_jacobsens_vej_89_9_2300_koebenhavn_s,"Robert Jacobsens Vej 89, 9. 2300 København S",Ejerlejlighed,145,0,4,9,2009,0,3349,131,1,1,8000000,11,2021
https://www.boliga.dk/bolig/1843534/dronningens_tvaergade_5_st_1302_koebenhavn_k,"Dronningens Tværgade 5, st. 1302 København K",Ejerlejlighed,256,0,7,0,1794,0,3333,237,2,2,16000000,11,2021
https://www.boliga.dk/bolig/1843443/toennesvej_12_1_tv_2300_koebenhavn_s,"Tønnesvej 12, 1. tv 2300 København S",Ejerlejlighed,59,0,2,1,1935,0,755,53,1,1,2195000,11,2021
https://www.boliga.dk/bolig/1843438/flakholmen_10_st_th_2720_vanloese,"Flakholmen 10, st. th 2720 Vanløse",Ejerlejlighed,64,0,3,0,1938,0,1018,59,1,1,2595000,11,2021
https://www.boliga.dk/bolig/1843451/ordrupvej_70b_2_th_2920_charlottenlund,"Ordrupvej 70B, 2. th 2920 Charlottenlund",Ejerlejlighed,68,0,2,2,1936,0,796,59,1,1,2595000,11,2021
https://www.boliga.dk/bolig/1843454/jaegersborgvej_106_2_th_2820_gentofte,"Jægersborgvej 106, 2. th 2820 Gentofte",Ejerlejlighed,94,0,4,2,1949,0,1108,89,1,1,2800000,11,2021
